absolve,"verb-transitive:To pronounce clear of guilt or blame.","I must in God's name absolve her from sins that my human heart cannot forgive."
abstain,"verb-intransitive:To refrain from something by one's own choice:  abstain from traditional political rhetoric.  See Synonyms at refrain1.","At that time, not only didn't I know what the word abstain meant, I had no idea what masturbation was."
abstemious,"adjective:Eating and drinking in moderation.","Dowd has repeatedly mocked Obama's ""abstemious"" tastes and how these set him apart from the great, fat, American mainstream:"
abstinence,"noun:The act or practice of refraining from indulging an appetite or desire, especially for alcoholic drink or sexual intercourse.","Hence the term abstinence may be taken in two ways."
abstract,"adjective:Considered apart from concrete existence:  an abstract concept.","The term abstract comes from the Latin word abstractus, which literally means ""drawn away""."
abstruse,"adjective:Difficult to understand; recondite. See Synonyms at ambiguous.","Very enthusiastic, I remember they said you were, on certain abstruse points in comparative philology."
abundant,"adjective:Occurring in or marked by abundance; plentiful. See Synonyms at plentiful.","We have found, in short, abundant remains of a bronze-age culture, but no traces of preceding ages of development such as meet us on early Egyptian sites."
abuse,"verb-transitive:To use wrongly or improperly; misuse:  abuse alcohol; abuse a privilege.","This jackass didn't do this out of the blue like many abusers who are moderate then get extreme; this level of abuse ** was the pattern of abuse** for this poor girl."
abusive,"adjective:Characterized by improper or wrongful use:  abusive utilization of public funds.","The president, speaking in New Mexico, decries what he calls abusive practices on rates and penalties."
abut,"verb-intransitive:To touch or end at one end or side; lie adjacent.","I simply rehydrated my dried cranberries in abut 1/3 cup of bourbon by letting them soak in it for about 30 minutes (you can also zap the mixture in the microwave for a few seconds to help the process along)."
abysmal,"adjective:Resembling an abyss in depth; unfathomable.","Acker, Ripple-Carpenter and the former sheepherder are working to bring attention to what they call abysmal treatment of the sheepherders."
abyss,"noun:An immeasurably deep chasm, depth, or void: ""lost in the vast abysses of space and time�?  ( Loren Eiseley).","Thu 10/29/09 3: 29 PM the abyss is the most UNDERRATED of his movies. its fabulous but no one ever remembers it"
academic,"adjective:Of, relating to, or characteristic of a school, especially one of higher learning.","""Orientalism"" is the term academic historians and literary scholars like Edward Said have used to describe this age-old pattern of depicting Middle and Far Easterners as primitive"
acarpous,"adjective:Botany   Producing no fruit; sterile.",
accede,"verb-intransitive:To give one's consent, often at the insistence of another; concede. See Synonyms at assent.","If you are someone who is an mettle junky, bets burly amounts, and a authentic sports investor email us owing the details on our VIP a label accede to lay in to retinue e array these without thought so selections, to envisage more curb up on to some info on nfl and college handicapping."
accelerate,"verb-transitive:To increase the speed of.","And all of that combined, I think helps us to, what I call accelerate the problem to that solution."
accentuate,"verb-transitive:To stress or emphasize; intensify: ""enacted sweeping land-reform plans that accentuated the already chaotic pattern of landholding�?  ( James Fallows).","Is the word accentuate a good word to tell in morning assembly?"
accessible,"adjective:Easily approached or entered.","But they do give the candidates a chance to be -- Paul used the term accessible in the last segment -- much more accessible, much more up close to voters."
accessory,"noun:A subordinate or supplementary item; an adjunct.","Just as with ""blood libel,"" Sarah Palin can rightly claim that other prominent people have used the term accessory the same way that she did."
accidental,"adjective:Occurring unexpectedly, unintentionally, or by chance.","Nor again (b) will ‘white’ have another term accidental to it, e.g. ‘musical’."
acclaim,"verb-transitive:To praise enthusiastically and often publicly; applaud. See Synonyms at praise.","GEORGE PEMBA, ""Garden of Eden,"" 1949, Estimate: $4,300 to $7,200 One of the first black artists to win acclaim in South Africa, George Mnyalaza Milwa Pemba is revered for his images of township life under apartheid."
acclaimed,"verb:simple past tense and past participle of acclaim.","Of all the Latin music offerings, one of the most critically acclaimed is Latin Alternative."
acclimate,"verb-transitive:To accustom or become accustomed to a new environment or situation; adapt. See Synonyms at harden.","In this climate officers and men, gathered mostly from Northern posts, were to ""acclimate"" themselves for a tropical campaign -- somewhere."
acclivity,"noun:An upward slope, as of a hill.","On its acclivity, which is straight, houses are built, and those very thick and close to one another."
accolade,"noun:An expression of approval; praise.","In all seven divisions where he claimed some title accolade, he can only be caught arguably cherry picking once in the seven."
accommodate,"verb-transitive:To do a favor or service for; oblige. See Synonyms at oblige.","When a party of the Shays rebels came to the house of General Pomeroy, in Northampton, and asked if he could accommodate them, -- the old soldier, seeing the green sprigs in their hats, the badges of their treason, shouted to his son, ""Fetch me my hanger, and I'll _accommodate_ the scoundrels!"""
accomplice,"noun:An associate in wrongdoing, especially one who aids or abets another in a criminal act, either as a principal or an accessory.","What your really trying to accomplice is to scare others off that might be interested in finding out more about us."
accord,"verb-transitive:To cause to conform or agree; bring into harmony.","Champ an 'stick up for him too; he's good blood, an' ef he did go under for a spell, he ain't no worse 'n the rest, nor half ez bad; for Champ went in _of his own accord -- of his own accord_, ""he repeated significantly,"" an' don't you forget thet, Aileen!"
accost,"verb-transitive:To approach and speak to boldly or aggressively, as with a demand or request.","You mistake, knight; 'accost' is front her, board her, woo her, assail her."
accouter,"verb-transitive:To outfit and equip, as for military duty. See Synonyms at furnish.","His old garments and accouter-ments he had tied up in a bundle, which he carried by a sling over one shoulder."
accoutre,"verb:To furnish with dress, or equipment, especially those for military service; to equip; to attire; to array.","Today is St. Patrick's Day — you know, that day when you accoutre yourself with assorted green items raided from the local Poundland or EuroSt.re and imbibe vast quantities of a black alcoholic beverage with lots of froth on top."
accouterment,"noun:An accessory item of equipment or dress. Often used in the plural.","Debbie didn't object, but she had terms: for every world recordMichael broke, he could add one outrageously unnecessary accouterment to his car."
accoutrement,"noun:an accessory","Undoubtedly his most distinguishing artistic trait, Okazaki's graphic style is a peculiar syncretism of cultural and stylistic elements from the East and West that favors funky portmanteaus like a hip hoppish samurai, cybernetic villains decked out in Japanese accoutrement, a seasonal matsuri float carrying a DJ atop a massive PA."
accrete,"verb-transitive:To make larger or greater, as by increased growth.","There was a report later on of rime icing, rime icing will accrete fairly rapidly at low altitude and with these temperatures."
accretion,"noun:Growth or increase in size by gradual external addition, fusion, or inclusion.","The Reserve's marshes and beaches are among the best-studied sites nationally with regard to long-term accretion and erosion (over thousands of years)."
accrue,"verb-intransitive:To come to one as a gain, addition, or increment:  interest accruing in my savings account.","Investors long the calls accrue profits if shares surge 22. 5% to $11.61 by expiration day in June."
accumulate,"verb-transitive:To gather or pile up; amass. See Synonyms at gather.","Investors long the calls accumulate profits if shares of CTXS rise 5% to surpass the breakeven point at $40.69 by expiration."
accuse,"verb-transitive:To charge with a shortcoming or error.","(Come on Beck, I dare you call accuse Taft of being a progressive communist.)"
acerbic,"adjective:Sour or bitter tasting; acid. See Synonyms at bitter.","Frances, 69, best known as the acerbic host of The Weakest Link, is the only silent presence in the room."
acerbity,"noun:Sourness or acidness of taste, character, or tone.","In the other countries of Europe, racial and religious acerbity is intensified by economic and political agitation."
acetic,"adjective:Of, relating to, or containing acetic acid or vinegar.","""There's a wall of silence and the quantities they bring in of a substance called acetic anhydride has to be at a high level and highly organised,"" he said."
achromatic,"adjective:Designating color perceived to have zero saturation and therefore no hue, such as neutral grays, white, or black.","This might not necessarily be a real appearance for it is conceivable that such traces of colour might be due to the telescopes employed not having been truly achromatic, that is, not sufficiently corrected for colour; but making every allowance for this possible source of mistake there yet remains proof that the colour which has often been seen has been real."
acidulous,"adjective:Slightly sour in taste or in manner. See Synonyms at sour.","In a Robert Altman film that's almost bursting with superb performances, Maggie Smith shines as the Countess of Trentham, a mistress of acidulous put-downs."
acknowledge,"verb-transitive:To admit the existence, reality, or truth of.","Even the designers behind the avant-garde Duckie Brown label acknowledge that the oversize drawstring pants they showed last year were ""a fashion thing,"" not necessarily a commercial hit, says co-designer Daniel Silver."
acme,"noun:The highest point, as of achievement or development:  reached the acme of her career.  See Synonyms at summit.","He first called for the creation of a worldwide currency, to be called ""acmetal"" - a combination of ""acme,"" a Greek word meaning the peak or the best, and ""capital"" - in an article published last month."
acne,"noun:An inflammatory disease of the sebaceous glands and hair follicles of the skin that is marked by the eruption of pimples or pustules, especially on the face.","Acne artificialis is a term applied to an acne or acne-like eruption produced by the ingestion of certain drugs, as the bromides and iodides, and by the external use of tar; this is also called _tar acne_."
acoustics,"noun:The scientific study of sound, especially of its generation, transmission, and reception.","Salford has been carrying out teaching, research and consultancy in acoustics and audio for three decades."
acquiesce,"verb-intransitive:To consent or comply passively or without protest. See Synonyms at assent.","But if we again acquiesce we will be reduced to sad and pathetic footnotes in our accelerating transformation from a democracy to a totalitarian corporate state."
acquiescence,"noun:Passive assent or agreement without protest.","Raffel denied that pro-Israel forces have used the ""no daylight"" argument to win American acquiescence to Israeli policies, while Israel's leaders feel no obligation to support U.S."
acquiescent,"adjective:Disposed or willing to acquiesce.","She frowned, exactly as the Lady whom Stile knew would have, then flung her golden hair back in a kind of acquiescent defiance."
acquisition,"noun:The act of acquiring.","Without question, the Khabibulin acquisition is the most important trade in Lightning history."
acquit,"verb-transitive:Law   To free or clear from a charge or accusation.","Don’t get me wrong, I think judges are too slow to use their power in this regard, but it should be that the universe of cases where a reasonable jury will acquit is much, much larger than cases where a judge acting property will grant a motion for judgment of acquittal."
acquittal,"noun:Judgment, as by a jury or judge, that a defendant is not guilty of a crime as charged.","For him, the ordeal was happily and triumphantly over; the sympathy of friends, the enthusiasm of the public, greeted his acquittal from the false charge which was to wreck him."
acre,"noun:A unit of area in the U.S. Customary System, used in land and sea floor measurement and equal to 160 square rods, 4,840 square yards, or 43,560 square feet. See Table at measurement.","The glebe is * about 3! acres arable, of a good light foil, and about an acre of pafture and meadow, befides a garden J of an acre* The living, exchu five of the glebe, was formerly 36L 3 s. 7d."
acrid,"adjective:Unpleasantly sharp, pungent, or bitter to the taste or smell. See Synonyms at bitter.","It was more a thing of his head than his heart, revealing itself mainly in short, acrid speeches, meant to be clever, and indubitably disagreeable."
acrimonious,"adjective:Bitter and sharp in language or tone; rancorous:  an acrimonious debate between the two candidates.","It has a very -- to use the word acrimonious is an understatement relationship with India."
acrophobia,"noun:An abnormal fear of high places.","The presence of Novak in a dual role underscores the basic idea: Vertigo refracted through a cracked prism (acrophobia is further referenced in the jaw-dropping trapeze scene, the climax of both the film and the film-within-the-film)."
actuarial,"adjective:Of or pertaining to actuaries","In Alberta we brought in actuarial experts and did a lot of study on the Plan from the point of view of asking the question: ""Is it possible for Alberta to move out of the plan and take on all the incumbent liability that goes with that and in fact develop its own pension plan?"""
actuary,"noun:A statistician who computes insurance risks and premiums.","She is a qualified actuary from the German Actuarial Association (DAV) and a member of the Swiss Actuarial Association (SAV)."
actuate,"verb-transitive:To put into motion or action; activate:  electrical relays that actuate the elevator's movements.","What's worse, the Storm2's implementation requires a surprising amount of effort to actuate, meaning that long messages were a chore to type out -- not only do they wear out your fingers, but it gets old hearing the screen's loud ""thunk"" each and every time you type a letter, which we find considerably more noticeable than the traditional click of a physical QWERTY keyboard."
acuity,"noun:Acuteness of vision or perception; keenness.","This has left much of the training of journalists to the junior colleges, which re the least qualified in acuity and course standards."
acumen,"noun:Quickness, accuracy, and keenness of judgment or insight.","A demonstration of how one's scientific acumen translates into business results is an excellent start."
acute,"adjective:Having a sharp point or tip.","Kindred provides healthcare services in long-term acute care hospitals, skilled nursing centers and through a contract rehabilitation services business."
adage,"noun:A saying that sets forth a general truth and that has gained credit through long use. See Synonyms at saying. See Usage Note at redundancy.","As a certain Danish adage would have it, the neutrals of the league must all be shorn over the same comb."
adamant,"adjective:Impervious to pleas, appeals, or reason; stubbornly unyielding. See Synonyms at inflexible.","While some analysts believe the Fed's move has been largely priced in, others remain adamant that the U.S. currency will suffer as long as policy is eased further."
adapt,"verb-transitive:To make suitable to or fit for a specific use or situation.","A copy of Peri's ""Dafne"" was sent to Dresden and as a preparation for performance the text was translated, but it was found impossible to adapt the German words to the Italian recitative, owing to the different structure of the German sentences, bringing the emphasis in totally different places."
addendum,"noun:Something added or to be added, especially a supplement to a book.","The COS Effect Readers, this addendum is in recognition that some of you (like me) may, whilst purchasing one of the above or similar TPD, wish to augment your wardrobe with simple, less expensive pieces."
addict,"verb-transitive:To cause to become physiologically or psychologically dependent on a habit-forming substance:  The thief was addicted to cocaine.","Who knew that all you had to do was sit on the floor of the bathroom for 24 hours, suffer the dry heaves for a while and boom, just like that, a years-long Vicodin addict is in recovery."
addicted,"verb:simple past tense and past participle of addict.","KING: Were you encouraged, Robert Redford, by the president using the term addicted to oil in the State of the Union?"
addiction,"noun:Compulsive physiological and psychological need for a habit-forming substance:  a drug used in the treatment of heroin addiction.","MILLMAN: I do think that the term addiction gets overused."
addle,"verb-transitive:To muddle; confuse: ""My brain is a bit addled by whiskey�?  ( Eugene O'Neill).  See Synonyms at confuse.","One need only read the curious doublespeak of the so-called black block anarchists, the group responsible for the only destructive protests at the Vancouver Olympics, to realize what kind of addle-brained morons we're dealing with."
address,"verb-transitive:To speak to:  addressed me in low tones.","WORDS ACCENTED ON THE LAST SYLLABLE: address _address'_ adept _adept'_ adult _adult'_ ally _ally'_ commandant _commandänt '(ä as in arm) _ contour _contour'_ dessert _dessert'_ dilate _dilate'_ excise _eksiz'_ finance _finance'_ grimace _grimace'_ importune _importune'_ occult _occult'_ pretence _pretence'_ research _research'_ robust _robust'_ romance _romance'_ tirade _tirade'_"
adept,"adjective:Very skilled. See Synonyms at proficient.","WORDS ACCENTED ON THE LAST SYLLABLE: address _address'_ adept _adept'_ adult _adult'_ ally _ally'_ commandant _commandänt '(ä as in arm) _ contour _contour'_ dessert _dessert'_ dilate _dilate'_ excise _eksiz'_ finance _finance'_ grimace _grimace'_ importune _importune'_ occult _occult'_ pretence _pretence'_ research _research'_ robust _robust'_ romance _romance'_ tirade _tirade'_"
adhere,"verb-intransitive:To stick fast by or as if by suction or glue.","Even when the pace quickened with the stress of the music the gestures still continued to be restrained and hieratic, only when, one by one, the performers detached themselves from the round and knelt before us for the _peseta_ it is customary to press on their foreheads, did one see, by the moisture which made the coin adhere, how quick and violent their movements had been."
adherent,"noun:A supporter, as of a cause or individual:  a vote that pleased adherents of education reform.","The slain Mungiki adherent is the fourth sect member to be killed by police after members of the outlawed sect hacked two police officers and set their bodies ablaze last Wednesday."
adhesion,"noun:The act or state of adhering.","They were Gentiles, who had given in adhesion to some of the tenets of Judaism."
adhesive,"adjective:Tending to adhere; sticky.","As for the tape, the older the adhesive is the harder it is to remove."
adipose,"adjective:Of, relating to, or composed of animal fat; fatty.","The researchers revealed that the enzyme called adipose-specific phospholipase A2 (AdPLA) is found in abundance only in fat tissue."
adjacent,"adjective:Close to; lying near:  adjacent cities.","Any of these that we refer to as adjacent markets we'll evaluate on a business case basis."
adjoin,"verb-transitive:To be next to; be contiguous to:  property that adjoins ours.","They overlook a beach and adjoin the 5,000-acre Sanyan Nashan Buddhist temple and park, filled with pagodas and botanical gardens."
adjourn,"verb-transitive:To suspend until a later stated time.","Later Mr. Bobbsey learned that the senators and congressmen were meeting at night in order to finish a lot of work so they could the sooner end the session -- ""adjourn,"" as it is called."
adjunct,"noun:Something attached to another in a dependent or subordinate position. See Synonyms at appendage.","Unlike term adjunct instructors who perform the exact same work,"
adjuration,"noun:An earnest, solemn appeal.","As to the second kind of adjuration, which is by compulsion, we may lawfully use it for some purposes, and not for others."
adjure,"verb-transitive:To command or enjoin solemnly, as under oath: ""adjuring her in the name of God to declare the truth�?  ( Increase Mather).","Obj. 3: Further, to adjure is to induce a person to swear."
adjutant,"noun:A staff officer who helps a commanding officer with administrative affairs.","This was said in such a pleasant manner I almost concluded the general had been misrepresented, but how changed his tone when he called his adjutant, who in an instant stood before him."
ad-lib,"verb-transitive:To improvise and deliver extemporaneously.","When James Reilly visited his grandfather's TV-free home in Ireland as a boy, every evening Granddad would ad-lib a two-hour story -- always ending with a cliffhanger."
admission,"noun:The act of admitting or allowing to enter.","In concluding the examination of the question whether Cotton Mather denounced, or countenanced, the admission of spectral testimony -- for that is the issue before us -- I feel confident that it has been made apparent, that it was not in reference to the _admission_ of such testimony, that he objected to the ""principles that some of the Judges had espoused,"" but to the method in which it should be _handled_ and"
admonish,"verb-transitive:To reprove gently but earnestly.","Merriam-Webster editor at large Peter Sokolowski says news stories about a member of Congress who shouted ""You lie!"" at the President sent the word admonish to the top of the list of frequently looked-up words in the online dictionary."
admonitory,"adjective:Expressing admonition.","Hence he is apt to become narrative and admonitory, that is to say, fond of telling long stories, and of doling out advice, to the small profit and great annoyance of his friends."
adore,"verb-transitive:To worship as God or a god.","Let me, in short, adore Thee our Father, and Thy Son together with Thee; let me win the favour of Thy Holy Spirit, Who is from Thee, through Thy Only-begotten."
adorn,"verb-transitive:To lend beauty to: ""the pale mimosas that adorned the favorite promenade�?  ( Ronald Firbank).","""Pietre dure,"" which means ""hard stones"" in Italian, adorn everything from small vases to giant cabinets."
adroit,"adjective:Dexterous; deft.","So what is the standard of competence and performance that we implicitly have in mind when we deploy the standards of ""adroit"" and ""clumsy"" when it comes to physical performances?"
adulate,"verb-transitive:To praise or admire excessively; fawn on.","The Chia Huang couple enjoyed some small income; but they also went, on frequent occasions, to the mansions of Ning and Jung to pay their respects; and they knew likewise so well how to adulate lady Feng and"
adulation,"noun:Excessive flattery or admiration.","Liberals have their own celebrities, and I think sometimes their adulation is a little much."
adulterate,"verb-transitive:To make impure by adding extraneous, improper, or inferior ingredients.","The word 'adulterate' means 'to make impure, spurious or inferior by adding extraneous or improper ingredients' and I guess this applies to learning new values and ideas as filling our heads with extraneous or improper ingredients as well."
adulteration,"noun:The action of adulterating, being mixed with extraneous material, illicit substitution of one substance for another.","On returning to his native land, he still continued to turn his chemical knowledge to account, by giving his services to that particular branch of our commercial industry which is commonly described as the adulteration of commodities; and from this he had gradually risen to the more refined pursuit of adulterating gold and silver -- or, to use the common phrase again, making bad money."
adumbrate,"verb-transitive:To give a sketchy outline of.","Feeble is human speech to deal with such high matters, serving, at the best, but dimly to adumbrate ineffable truths."
advent,"noun:The coming or arrival, especially of something extremely important:  the advent of the computer.","(The word ""advent"" comes from the Latin word that means"
adventitious,"adjective:Not inherent but added extrinsically. See Synonyms at accidental.","But as it was occasionally inexpedient to carry about measuring-chains a boy would do well to know the precise length of his own foot-pace, so that when he was deprived of what Hurree Chunder called adventitious aids 'he might still tread his distances."
adversary,"noun:An opponent; an enemy.","Under other circumstances I might have dreaded an encounter with such a hideous-looking adversary -- for an _adversary_ I deemed him."
adverse,"adjective:Acting or serving to oppose; antagonistic:  adverse criticism.","Major Nidal Hasan lectured senior Army physicians about what he called adverse effects if Muslim soldiers are sent to fight other Muslims."
adversity,"noun:A state of hardship or affliction; misfortune.","Adhering to the rule of law even in adversity is what lends us credence and is the real reason to be proud of who and what we are as a nation – we’d be wise to remember that."
advert,"verb-intransitive:To turn attention. Used with to:  The board next adverted to compensation issues.","Its Portfolio dress (£29.50), as worn by Twiggy in the TV advert, is a bestseller after being offered in five other prints."
advertise,"verb-transitive:To make public announcement of, especially to proclaim the qualities or advantages of (a product or business) so as to increase sales. See Synonyms at announce.","Plus, what if the writer and advertise is ""off"", and the brand that's supposed to be cool isn't?"
advocacy,"noun:The act of pleading or arguing in favor of something, such as a cause, idea, or policy; active support.","GOLDBERG: Al Manar -- Al Man adds new meaning to the term advocacy journalism."
advocate,"verb-transitive:To speak, plead, or argue in favor of. See Synonyms at support.","One of the great purposes of the procedure which I am about to advocate is to give support and strength to these brilliant and patriotic members and to proclaim to them that the whole nation stands behind them."
aegis,"noun:Protection:  a child whose welfare is now under the aegis of the courts.","(Athena's shield or ""aegis"" is decorated with the head of Medusa, the perfect image to paralyze the enemy.)"
aerate,"verb-transitive:To supply with air or expose to the circulation of air:  aerate soil.","• Mr. Stupak will take a liquid base, divide it into parts and freeze some, dehydrate some and "" aerate "" some by pumping air into it, looking for the most interesting texture."
aerial,"adjective:Of, in, or caused by the air.","I was quite patient; the grand open country all round me offered lessons of inestimable value in what we call aerial perspective."
aerie,"noun:The nest of a bird, such as an eagle, built on a cliff or other high place.","American Eagle Outfitters Inc., another teen brand, has had success with its fast-growing ""aerie"" line of underwear and pajamas."
aesthetic,"adjective:Relating to the philosophy or theories of aesthetics.","Passing on to the study of more complex concepts, where the aesthetic activity is found in conjunction with other orders of facts, and showing the mode of this union or complication, we find ourselves at once face to face with the concept of _feeling_ and with the feelings which are called _aesthetic_."
aesthetics,"noun:The branch of philosophy that deals with the nature and expression of beauty, as in the fine arts.","Adult self-reported interest in aesthetics is related to a temperamental factor of openness , as reported by the Dana Arts and Cognition Consortium (with many more details and - as is the case in any serious scientific study - caveats concerning observed correlations etc.)."
affable,"adjective:Easy and pleasant to speak to; approachable.","Earp was fond of using the word affable when describing his friend to others."
affected,"adjective:Acted upon, influenced, or changed.","This section shall not be construed to prohibit a person whose resignation from office has become effective from qualifying as a candidate for another office during the unexpired portion of the term affected by the resignation, nor shall it apply to any incumbent elective officer who seeks re-election to the same office or to any other public office during the final year of the term to which he has been so elected."
affection,"noun:A tender feeling toward another; fondness. See Synonyms at love.","_The affection which we rightly have for what is lovely must ordinate justly_, _in due manner end proportion_, _become the object of a new affection_, _or be itself beloved_, _in order to our being endued with that virtue which is the principle of a good life_."
affidavit,"noun:A written declaration made under oath before a notary public or other authorized officer.","Its only fair~ especially if you involved people and hurt / killed them If an affidavit is signed by one person, and consequences are put in place because of that affidavit~?"
